符号：{symbol} 10进：{dec} 16进：{hex} html代码：{html}
符号： 10进：0 16进：0000 html代码：&#0;
符号： 10进：1 16进：0001 html代码：&#1;
符号： 10进：2 16进：0002 html代码：&#2;
符号： 10进：3 16进：0003 html代码：&#3;
符号： 10进：4 16进：0004 html代码：&#4;
符号： 10进：5 16进：0005 html代码：&#5;
符号： 10进：6 16进：0006 html代码：&#6;
符号：
 10进：7 16进：0007 html代码：&#7;
符号： 10进：8 16进：0008 html代码：&#8;
符号：	 10进：9 16进：0009 html代码：&#9;
符号：
 10进：10 16进：000A html代码：&#10;
符号：
 10进：11 16进：000B html代码：&#11;
符号：
 10进：12 16进：000C html代码：&#12;
符号：
 10进：13 16进：000D html代码：&#13;
符号：
 10进：14 16进：000E html代码：&#14;
符号： 10进：15 16进：000F html代码：&#15;
符号： 10进：16 16进：0010 html代码：&#16;
符号： 10进：17 16进：0011 html代码：&#17;
符号： 10进：18 16进：0012 html代码：&#18;
符号： 10进：19 16进：0013 html代码：&#19;
符号： 10进：20 16进：0014 html代码：&#20;
符号： 10进：21 16进：0015 html代码：&#21;
符号： 10进：22 16进：0016 html代码：&#22;
符号： 10进：23 16进：0017 html代码：&#23;
符号： 10进：24 16进：0018 html代码：&#24;
符号： 10进：25 16进：0019 html代码：&#25;
符号： 10进：26 16进：001A html代码：&#26;
符号： 10进：27 16进：001B html代码：&#27;
符号： 10进：28 16进：001C html代码：&#28;
符号： 10进：29 16进：001D html代码：&#29;
符号： 10进：30 16进：001E html代码：&#30;
符号： 10进：31 16进：001F html代码：&#31;
符号：  10进：32 16进：0020 html代码：&#32;
符号：! 10进：33 16进：0021 html代码：&#33;
符号：" 10进：34 16进：0022 html代码：&#34;
符号：# 10进：35 16进：0023 html代码：&#35;
符号：$ 10进：36 16进：0024 html代码：&#36;
符号：% 10进：37 16进：0025 html代码：&#37;
符号：& 10进：38 16进：0026 html代码：&#38;
符号：' 10进：39 16进：0027 html代码：&#39;
符号：( 10进：40 16进：0028 html代码：&#40;
符号：) 10进：41 16进：0029 html代码：&#41;
符号：* 10进：42 16进：002A html代码：&#42;
符号：+ 10进：43 16进：002B html代码：&#43;
符号：, 10进：44 16进：002C html代码：&#44;
符号：- 10进：45 16进：002D html代码：&#45;
符号：. 10进：46 16进：002E html代码：&#46;
符号：/ 10进：47 16进：002F html代码：&#47;
符号：0 10进：48 16进：0030 html代码：&#48;
符号：1 10进：49 16进：0031 html代码：&#49;
符号：2 10进：50 16进：0032 html代码：&#50;
符号：3 10进：51 16进：0033 html代码：&#51;
符号：4 10进：52 16进：0034 html代码：&#52;
符号：5 10进：53 16进：0035 html代码：&#53;
符号：6 10进：54 16进：0036 html代码：&#54;
符号：7 10进：55 16进：0037 html代码：&#55;
符号：8 10进：56 16进：0038 html代码：&#56;
符号：9 10进：57 16进：0039 html代码：&#57;
符号：: 10进：58 16进：003A html代码：&#58;
符号：; 10进：59 16进：003B html代码：&#59;
符号：< 10进：60 16进：003C html代码：&#60;
符号：= 10进：61 16进：003D html代码：&#61;
符号：> 10进：62 16进：003E html代码：&#62;
符号：? 10进：63 16进：003F html代码：&#63;
符号：@ 10进：64 16进：0040 html代码：&#64;
符号：A 10进：65 16进：0041 html代码：&#65;
符号：B 10进：66 16进：0042 html代码：&#66;
符号：C 10进：67 16进：0043 html代码：&#67;
符号：D 10进：68 16进：0044 html代码：&#68;
符号：E 10进：69 16进：0045 html代码：&#69;
符号：F 10进：70 16进：0046 html代码：&#70;
符号：G 10进：71 16进：0047 html代码：&#71;
符号：H 10进：72 16进：0048 html代码：&#72;
符号：I 10进：73 16进：0049 html代码：&#73;
符号：J 10进：74 16进：004A html代码：&#74;
符号：K 10进：75 16进：004B html代码：&#75;
符号：L 10进：76 16进：004C html代码：&#76;
